"","survey_gender","survey_class","survey_race"
"basketball",75.0858585858586,38.427135678392,81.5373134328358
"baseball",79.6938775510204,45.2713567839196,40.015
"boxing",87.95,33.3147208121827,66.0507614213198
"softball",30.6130653266332,44.85,26.540404040404
"volleyball",32.7575757575758,54.5628140703518,24.3517587939699
"tennis",44.8,76.8208955223881,23.65
"golf",64.0353535353535,84.62,19.459595959596
"hockey",86.0252525252525,41.2763819095477,16.815
"soccer",63.8787878787879,44.5431472081218,34.8121827411168
"hairdresser",21.26,24.55,49.3165829145729
"lawyer",62.8383838383838,84.044776119403,32.2828282828283
"doctor",61.6192893401015,85.9253731343284,34.3232323232323
"plumber",82.4179104477612,21.547263681592,39.9040404040404
"scientist",62.1479591836735,75.88,31.2323232323232
"engineer",69.52,73.155,31.2676767676768
"banker",61.1909547738693,73.7258883248731,29.6243654822335
"nanny",16.3989898989899,27.93,39.1025641025641
"carpenter",81.9004975124378,25.5024875621891,39.5577889447236
"journalist",49.6802030456853,56.1212121212121,37.5125628140703
"nurse",25.0505050505051,46.3045685279188,42.989847715736
"jazz",57.5555555555556,63.0804020100502,63.1243781094527
"bluegrass",60.1708542713568,31.1658291457286,27.525
"punk",70.55,27.215,23.935
"hiphop",72.4723618090452,26.0301507537688,83.33
"rap",78.3888888888889,22.875,85.3084577114428
"opera",30.9698492462312,86.0201005025126,16.5628140703518
"techno",58.2060301507538,41.11,31.2964824120603
"hamburger",66.929648241206,30.9899497487437,48.9747474747475
"cheesecake",35.6633165829146,57.7286432160804,37.5050505050505
"salad",29.6884422110553,59.6818181818182,35.3585858585859
"steak",76.5786802030457,63.5606060606061,42.6802030456853
"wine",33.9,76.0050251256281,29.7638190954774
"beer",77.085,28.3266331658291,44.7424242424242
"pastry",34.64,58.83,37.2020202020202
"motorcycle",79.735,38.275,34.3535353535354
"minivan",31.625,35.2763819095477,35.713567839196
"skateboard",72.98,28.4723618090452,31.7939698492462
"SUV",57.6852791878173,55.994923857868,42.1370558375635
"truck",80.3165829145729,32.1306532663317,37.0502512562814
"bicycle",51.1060606060606,35.995,42.3232323232323
"limousine",55,87.76,31.520202020202
"blouse",11.8391959798995,57.6326530612245,44.3061224489796
"pants",63.3147208121827,49.4484536082474,50.0969387755102
"necklace",22.0757575757576,61.7715736040609,46.1917098445596
"tuxedo",88.3417085427136,84.68,36.6313131313131
"briefcase",72.9045226130653,74.025,36.6632653061224
"shirt",56.741116751269,47.0051282051282,49.5885416666667
"dress",8.85858585858586,58.5228426395939,44.6564102564103
"suit",79.9897959183673,75.525,38.4081632653061
"socks",53,46.9030612244898,49.6979166666667
"shorts",51.3604060913706,41.8367346938776,48.7959183673469
"Jake",89.9145728643216,50.2233502538071,22.325
"Shanice",14.1542288557214,33.1522842639594,84.6464646464647
"Aaliyah",14.6834170854271,39.7989949748744,80.6717171717172
"Connor",85.385,61.1116751269036,20.3030303030303
"Jamal",88.2814070351759,31.8426395939086,86.45
"Molly",10.81592039801,52.3520408163265,21.7
"Tyrone",90.0646766169154,32.2233502538071,87.175
"Amy",10.9651741293532,53.5,21.6161616161616
