,gender_mean,class_mean,race_mean
basketball,72.49233,37.48029,81.05358
baseball,77.60552,46.90747,38.39533
boxing,86.39916,36.92365,64.95531
softball,32.61073,45.31939,26.8206
volleyball,31.83629,54.05517,25.8108
tennis,42.65294,75.34252,25.93527
golf,64.9276,82.92412,21.00702
hockey,84.42197,40.18831,18.71368
soccer,64.12531,44.74304,35.9177
hairdresser,20.6902,25.58188,50.86118
lawyer,61.77906,83.59479,35.66758
doctor,60.06721,86.58565,37.82003
plumber,80.25067,22.84663,39.27434
scientist,61.87003,75.96935,32.74435
engineer,69.79498,73.64344,32.92745
banker,59.9074,72.64936,32.65704
nanny,17.65112,26.94414,41.04066
carpenter,80.9367,27.46218,42.08532
journalist,47.79544,54.5116,39.90278
nurse,26.29599,45.08054,43.68505
jazz,57.35235,62.31129,64.47241
bluegrass,59.70648,33.35516,27.6354
punk,68.8997,28.03863,25.61954
hiphop,70.36341,27.69916,80.38662
rap,77.08481,23.63341,84.40913
opera,30.27255,84.88982,18.43137
techno,55.59327,41.66504,31.80039
hamburger,67.21136,30.87822,49.86356
cheesecake,37.24012,57.44231,40.98562
salad,29.50207,57.14181,37.81654
steak,74.79743,65.7538,44.73505
wine,32.28771,72.63448,32.88507
beer,76.73858,29.18468,45.83547
pastry,34.25504,57.02082,38.23769
motorcycle,78.09129,40.7948,35.71057
minivan,31.53552,34.76901,36.71924
skateboard,71.73591,27.84433,33.28712
suv,56.46473,55.58908,43.94845
truck,78.91742,34.28461,40.08299
bicycle,53.6302,34.8723,44.11113
limousine,54.79961,87.28196,33.15888
blouse,13.86655,54.48048,44.10218
pants,61.52048,47.87089,49.03491
necklace,22.3849,60.73257,45.81803
tuxedo,87.36133,84.54303,38.43134
briefcase,71.59772,73.14077,38.03526
shirt,55.09586,46.58241,48.94017
dress,10.09335,57.52888,44.54394
suit,78.95429,74.72621,40.26133
socks,53.1593,46.93888,48.06988
shorts,50.21759,40.7444,48.08671
Jake,88.12366,51.34486,24.33859
Shanice,14.569,35.08187,82.21732
Aaliyah,15.66787,40.41475,78.23722
Connor,83.58592,59.13945,20.59342
Jamal,87.80617,33.63767,86.35431
Molly,11.40538,52.93874,20.65734
Tyrone,89.98954,33.37189,86.50137
Amy,11.52517,54.33826,22.09146
