"","survey_gender","survey_class","survey_race"
"basketball",263.582980049875,395.529501246883,256.14006234414
"baseball",274.059513715711,368.100012468828,363.798753117207
"boxing",244.565548628429,497.900586034913,279.145536159601
"softball",467.329364089776,387.7322319202,350.216820448878
"volleyball",337.610498753117,309.258877805486,355.933877805486
"tennis",249.706072319202,244.647256857855,376.261558603491
"golf",283.584750623441,213.553753117207,406.510698254364
"hockey",254.667281795511,477.196034912718,394.98825436409
"soccer",258.559376558604,425.864089775561,328.332930174564
"hairdresser",352.009862842893,311.78855361596,246.837930174564
"lawyer",229.199139650873,220.174002493766,371.110199501247
"doctor",223.469551122195,196.811034912718,343.468142144638
"plumber",264.377743142145,352.555561097257,324.759650872818
"scientist",224.289413965087,258.5313840399,343.38674563591
"engineer",273.660511221945,275.106221945137,347.298715710723
"banker",312.38150872818,372.719862842893,397.174875311721
"nanny",307.220024937656,472.193640897756,364.73753117207
"carpenter",262.677768079801,417.338591022444,307.85897755611
"journalist",195.14572319202,270.195548628429,261.947244389027
"nurse",344.15072319202,323.586246882793,219.351172069825
"jazz",240.49102244389,392.497755610973,395.417456359102
"bluegrass",243.080972568579,465.92897755611,692.784600997506
"punk",284.448142144638,343.871009975062,412.060436408978
"hiphop",286.990249376559,381.836882793017,279.784301745636
"rap",265.556122194514,356.77006234414,275.497219451372
"opera",375.651820448878,240.981097256858,400.028628428928
"techno",270.413890274314,346.168004987531,424.3413840399
"hamburger",270.603204488778,305.71897755611,177.050024937656
"cheesecake",311.519750623441,269.84710723192,278.175860349127
"salad",313.880897755611,239.91506234414,288.909987531172
"steak",283.558591022444,341.665685785536,246.395960099751
"wine",347.339201995012,278.719912718205,308.909750623441
"beer",288.914900249377,347.503079800499,237.231571072319
"pastry",336.947543640898,322.284900249377,311.255498753117
"motorcycle",257.30963840399,306.32572319202,313.486982543641
"minivan",376.540586034913,382.659912718205,319.244551122195
"skateboard",239.751122194514,318.014376558603,395.579775561097
"SUV",387.557793017456,310.572793017456,313.21674563591
"truck",272.115623441397,369.209887780549,350.883603491272
"bicycle",195.060997506234,362.534862842893,292.402506234414
"limousine",266.255635910224,257.466271820449,391.184027431421
"blouse",307.385024937656,236.158927680798,182.666882793017
"pants",254.003890274314,149.605635910224,71.9669825436409
"necklace",390.408578553616,220.425960099751,181.824950124688
"tuxedo",252.571009975062,249.668279301746,336.339376558603
"briefcase",334.58421446384,257.988965087282,307.507281795511
"shirt",178.530710723192,154.6836159601,74.6524563591022
"dress",280.658428927681,217.998902743142,150.954825436409
"suit",310.765448877806,262.285224438903,270.488079800499
"socks",113.28536159601,139.254127182045,64.2047256857855
"shorts",201.690349127182,226.068827930175,144.347344139651
"Jake",291.799127182045,299.949389027431,448.985124688279
"Shanice",329.1936159601,405.147755610973,381.851558603491
"Aaliyah",386.879314214464,381.320561097257,415.505174563591
"Connor",365.953902743142,338.175087281796,383.536109725686
"Jamal",265.207855361596,385.792680798005,280.664775561097
"Molly",271.683204488778,285.144513715711,394.290486284289
"Tyrone",207.19819201995,362.849775561097,272.52174563591
"Amy",280.20506234414,248.076982543641,377.195349127182
